"Regios";"Perioden";"Totale bevolking";"Geboorte";"Sterfte";"Vestiging uit andere gemeente";"Vertrek naar andere gemeente";"Immigratie";"Emigratie";"Beroepsbegeleidende leerweg";"Totaal aantal banen";"A Landbouw, bosbouw en visserij";"25 tot 35 jaar";"Partners van hoofdkostwinner"
"Noord-Nederland (LD)";"2000";"1656952";"20341";"15759";"72839";"72123";"14474";"5351";".";" ";" ";" ";" "
"Noord-Nederland (LD)";"2005";"1701418";"18419";"15171";"74481";"75682";"6645";"9603";"13343";" ";" ";" ";" "
"Noord-Nederland (LD)";"2010";"1713954";"17494";"15535";"65212";"67224";"11911";"8078";"16806";"701.10";"1";"26.8";"18.3"
"Noord-Nederland (LD)";"2011";"1717729";"17124";"15522";"66248";"68518";"11683";"9811";"15663";"703.45";"x";"26.8";"18.8"
"Noord-Nederland (LD)";"2012";"1718896";"16512";"16182";"67550";"69798";"11386";"9891";" ";"691.02";"1";"27.1";"19.3"
"Oost-Nederland (LD)";"2000";"3313989";"45358";"28598";"126549";"118706";"21223";"11064";".";" ";" ";" ";" "
"Oost-Nederland (LD)";"2005";"3447301";"41434";"28041";"129636";"126356";"14306";"18920";"30701";" ";" ";" ";" "
"Oost-Nederland (LD)";"2010";"3517162";"39632";"28115";"117045";"118370";"23206";"19292";"38326";"1585.70";"1";"28.8";"19.5"
"Oost-Nederland (LD)";"2011";"3531103";"38298";"27982";"117264";"118557";"23827";"20060";"37913";"1605.50";"1";"28.8";"19.9"
"Oost-Nederland (LD)";"2012";"3543938";"37193";"28969";"122372";"123968";"22330";"19394";" ";"1581.90";"1";"29.1";"20.4"
"West-Nederland (LD)";"2000";"7395813";"98209";"66344";"295647";"305775";"72173";"42756";".";" ";" ";" ";" "
"West-Nederland (LD)";"2005";"7608753";"91705";"63383";"315752";"316529";"53377";"67017";"61299";" ";" ";" ";" "
"West-Nederland (LD)";"2010";"7777014";"92106";"62215";"294627";"288338";"89732";"72464";"73358";"3884.30";"1";"31.8";"22.4"
"West-Nederland (LD)";"2011";"7830125";"90335";"62020";"293675";"288753";"95740";"78730";"70702";"3899.28";"1";"31.7";"22.9"
"West-Nederland (LD)";"2012";"7880753";"89118";"64215";"299988";"294200";"93232";"90133";" ";"3855.44";"1";"31.9";"23.5"
"Zuid-Nederland (LD)";"2000";"3497196";"42711";"29826";"119062";"117493";"24980";"19806";".";" ";" ";" ";" "
"Zuid-Nederland (LD)";"2005";"3548054";"36352";"29807";"122220";"123522";"17969";"24185";"30620";" ";" ";" ";" "
"Zuid-Nederland (LD)";"2010";"3566859";"35165";"30193";"112986";"115938";"29583";"21517";"38687";"1713.40";"2";"29.7";"19.7"
"Zuid-Nederland (LD)";"2011";"3576842";"34303";"30217";"116534";"117893";"31712";"24593";"37108";"1724.74";"2";"29.6";"20.1"
"Zuid-Nederland (LD)";"2012";"3586761";"33136";"31447";"119949";"121893";"31426";"25073";" ";"1696.38";"2";"30.0";"20.6"
"Groningen (PV)";"2000";"562646";"6510";"5458";"28440";"28520";"5362";"2498";".";" ";" ";" ";" "
"Groningen (PV)";"2005";"575072";"5943";"5216";"28979";"29725";"3309";"4394";"4716";" ";" ";" ";" "
"Groningen (PV)";"2010";"576668";"5732";"5331";"26542";"26533";"6055";"4096";"5665";"249.20";"1";"27.1";"18.9"
"Groningen (PV)";"2011";"579036";"5853";"5249";"27928";"27686";"6163";"5173";"5254";"248.98";"1";"27.2";"19.4"
"Groningen (PV)";"2012";"580875";"5604";"5460";"28474";"28582";"6247";"5458";" ";"242.51";"1";"27.4";"19.9"
"Friesland (PV)";"2000";"624500";"8009";"5774";"25721";"25867";"5266";"1442";".";" ";" ";" ";" "
"Friesland (PV)";"2005";"642977";"7377";"5606";"26457";"27947";"1914";"3028";"4245";" ";" ";" ";" "
"Friesland (PV)";"2010";"646305";"7012";"5588";"23057";"24775";"3525";"2285";"5784";"258.20";"1";"26.5";"17.8"
"Friesland (PV)";"2011";"647282";"6655";"5606";"22559";"24232";"3324";"2709";"5093";"258.39";"1";"26.5";"18.2"
"Friesland (PV)";"2012";"647214";"6502";"5882";"22506";"23925";"3146";"2706";" ";"253.59";"1";"26.8";"18.7"
"Drenthe (PV)";"2000";"469806";"5822";"4527";"18678";"17736";"3846";"1411";".";" ";" ";" ";" "
"Drenthe (PV)";"2005";"483369";"5099";"4349";"19045";"18010";"1422";"2181";"4382";" ";" ";" ";" "
"Drenthe (PV)";"2010";"490981";"4750";"4616";"15613";"15916";"2331";"1697";"5357";"193.70";"1";"26.6";"18.5"
"Drenthe (PV)";"2011";"491411";"4616";"4667";"15761";"16600";"2196";"1929";"5316";"196.08";"x";"26.8";"18.9"
"Drenthe (PV)";"2012";"490807";"4406";"4840";"16570";"17291";"1993";"1727";" ";"194.92";"1";"27.0";"19.3"
"Overijssel (PV)";"2000";"1077625";"14924";"9847";"34115";"34588";"7006";"3248";".";" ";" ";" ";" "
"Overijssel (PV)";"2005";"1109432";"13942";"9382";"35547";"35020";"4784";"6001";"10345";" ";" ";" ";" "
"Overijssel (PV)";"2010";"1130345";"13180";"9269";"31860";"33078";"7036";"5585";"12325";"525.00";"1";"28.0";"18.3"
"Overijssel (PV)";"2011";"1134465";"12651";"9235";"32389";"33599";"7508";"6514";"12715";"533.95";"1";"28.0";"18.8"
"Overijssel (PV)";"2012";"1137668";"12367";"9421";"33489";"35466";"6873";"6159";" ";"525.17";"1";"28.3";"19.3"
"Flevoland (PV)";"2000";"317206";"5064";"1746";"19329";"12671";"3049";"1368";".";" ";" ";" ";" "
"Flevoland (PV)";"2005";"365859";"5290";"1946";"17029";"14996";"2379";"2956";"3188";" ";" ";" ";" "
"Flevoland (PV)";"2010";"387881";"5310";"2116";"13107";"13502";"4064";"2763";"4296";"152.60";"2";"28.9";"21.2"
"Flevoland (PV)";"2011";"391967";"5090";"2172";"12652";"13367";"4262";"2923";"4074";"153.32";"2";"28.9";"21.6"
"Flevoland (PV)";"2012";"395525";"4991";"2213";"12318";"13294";"3696";"2596";" ";"151.43";"2";"29.2";"22.2"
"Gelderland (PV)";"2000";"1919158";"25370";"17005";"73105";"71447";"11168";"6448";".";" ";" ";" ";" "
"Gelderland (PV)";"2005";"1972010";"22202";"16713";"77060";"76340";"7143";"9963";"17168";" ";" ";" ";" "
"Gelderland (PV)";"2010";"1998936";"21142";"16730";"72078";"71790";"12106";"10944";"21705";"908.00";"1";"29.2";"19.8"
"Gelderland (PV)";"2011";"2004671";"20557";"16575";"72223";"71591";"12057";"10623";"21124";"918.23";"1";"29.3";"20.3"
"Gelderland (PV)";"2012";"2010745";"19835";"17335";"76565";"75208";"11761";"10639";" ";"905.30";"1";"29.6";"20.8"
"Utrecht (PV)";"2000";"1107849";"16080";"9124";"55211";"54666";"8190";"5710";".";" ";" ";" ";" "
"Utrecht (PV)";"2005";"1171291";"15395";"8651";"57841";"54389";"5831";"7746";"8573";" ";" ";" ";" "
"Utrecht (PV)";"2010";"1220910";"15429";"8768";"50208";"50292";"9434";"8128";"11635";"666.00";"0";"32.9";"24.1"
"Utrecht (PV)";"2011";"1228794";"14829";"8838";"51432";"50319";"9736";"8507";"11183";"674.24";"0";"32.8";"24.6"
"Utrecht (PV)";"2012";"1237117";"14878";"8933";"53065";"51437";"9387";"8740";" ";"669.50";"0";"33.0";"25.3"
"Noord-Holland (PV)";"2000";"2518354";"33618";"22457";"91243";"97259";"26784";"16314";".";" ";" ";" ";" "
"Noord-Holland (PV)";"2005";"2599103";"31706";"21538";"107646";"106964";"21111";"25731";"19893";" ";" ";" ";" "
"Noord-Holland (PV)";"2010";"2669084";"31593";"20974";"103100";"97183";"34971";"29006";"24043";"1400.60";"1";"32.5";"23.1"
"Noord-Holland (PV)";"2011";"2691477";"30336";"21101";"102735";"98261";"36695";"32354";"22669";"1411.83";"1";"32.4";"23.6"
"Noord-Holland (PV)";"2012";"2709822";"29791";"22118";"106387";"101162";"35888";"34354";" ";"1397.11";"1";"32.7";"24.3"
"Zuid-Holland (PV)";"2000";"3397744";"44022";"31051";"135098";"140184";"33957";"19292";".";" ";" ";" ";" "
"Zuid-Holland (PV)";"2005";"3458381";"40691";"29499";"136322";"141770";"24696";"31170";"28616";" ";" ";" ";" "
"Zuid-Holland (PV)";"2010";"3505611";"41387";"28723";"129967";"128712";"42268";"33263";"32445";"1663.40";"2";"31.2";"21.7"
"Zuid-Holland (PV)";"2011";"3528324";"41408";"28411";"127856";"127199";"45749";"35412";"31624";"1657.28";"2";"31.0";"22.2"
"Zuid-Holland (PV)";"2012";"3552407";"40814";"29411";"129048";"129025";"44295";"44266";" ";"1636.59";"2";"31.2";"22.8"
"Zeeland (PV)";"2000";"371866";"4489";"3712";"14095";"13666";"3242";"1440";".";" ";" ";" ";" "
"Zeeland (PV)";"2005";"379978";"3913";"3695";"13943";"13406";"1739";"2370";"4217";" ";" ";" ";" "
"Zeeland (PV)";"2010";"381409";"3697";"3750";"11352";"12151";"3059";"2067";"5235";"154.30";"2";"28.6";"18.1"
"Zeeland (PV)";"2011";"381530";"3762";"3670";"11652";"12974";"3560";"2457";"5226";"155.92";"2";"28.7";"18.5"
"Zeeland (PV)";"2012";"381407";"3635";"3753";"11488";"12576";"3662";"2773";" ";"152.23";"2";"29.1";"19.0"
"Noord-Brabant (PV)";"2000";"2356004";"30476";"19156";"79323";"76455";"16378";"12026";".";" ";" ";" ";" "
"Noord-Brabant (PV)";"2005";"2411359";"26301";"19178";"82315";"82196";"12081";"15394";"21824";" ";" ";" ";" "
"Noord-Brabant (PV)";"2010";"2444158";"25545";"19503";"78000";"78945";"18886";"13871";"27276";"1215.00";"1";"30.4";"20.1"
"Noord-Brabant (PV)";"2011";"2454215";"25015";"19775";"79895";"79407";"19837";"16145";"25822";"1222.13";"1";"30.3";"20.6"
"Noord-Brabant (PV)";"2012";"2463686";"24027";"20456";"82479";"82223";"19613";"16178";" ";"1204.58";"1";"30.6";"21.1"
"Limburg (PV)";"2000";"1141192";"12235";"10670";"39739";"41038";"8602";"7780";".";" ";" ";" ";" "
"Limburg (PV)";"2005";"1136695";"10051";"10629";"39905";"41326";"5888";"8791";"8796";" ";" ";" ";" "
"Limburg (PV)";"2010";"1122701";"9620";"10690";"34986";"36993";"10697";"7646";"11411";"498.40";"2";"27.8";"18.7"
"Limburg (PV)";"2011";"1122627";"9288";"10442";"36639";"38486";"11875";"8448";"11286";"502.61";"2";"28.0";"19.1"
"Limburg (PV)";"2012";"1123075";"9109";"10991";"37470";"39670";"11813";"8895";" ";"491.81";"2";"28.3";"19.6"